Ticker,Last Trade,First Notice,First Delivery,Last Delivery,Settle Price
BEH12 Index,2012-03-16,2012-03-16,03/19/12,2012-03-19,2365.02
BEJ12 Index,2012-04-20,2012-04-20,04/23/12,2012-04-23,2242.83
BEK12 Index,2012-05-18,2012-05-18,05/21/12,2012-05-21,2074.85
BEM12 Index,2012-06-15,2012-06-15,06/18/12,2012-06-18,2116.67
BEN12 Index,2012-07-20,2012-07-20,07/23/12,2012-07-23,2250.95
BEQ12 Index,2012-08-17,2012-08-17,08/20/12,2012-08-20,2385.97
BEU12 Index,2012-09-21,2012-09-21,09/24/12,2012-09-24,2468.08
BEV12 Index,2012-10-19,2012-10-19,10/22/12,2012-10-22,2390.17
BEX12 Index,2012-11-16,2012-11-16,11/19/12,2012-11-19,2316.33
BEZ12 Index,2012-12-21,2012-12-21,12/24/12,2012-12-24,2480.15
BEF13 Index,2013-01-18,2013-01-18,01/21/13,2013-01-21,2542.14
BEG13 Index,2013-02-15,2013-02-15,02/18/13,2013-02-18,2543.99
BEH13 Index,2013-03-15,2013-03-15,03/18/13,2013-03-18,2632.45
BEJ13 Index,2013-04-19,2013-04-19,04/22/13,2013-04-22,2543.11
BEK13 Index,2013-05-17,2013-05-17,05/20/13,2013-05-20,2732.55
BEM13 Index,2013-06-21,2013-06-21,06/24/13,2013-06-24,2534.73
BEN13 Index,2013-07-19,2013-07-19,07/22/13,2013-07-22,2648.82
BEQ13 Index,2013-08-16,2013-08-16,08/19/13,2013-08-19,2813.27
BEU13 Index,2013-09-20,2013-09-20,09/23/13,2013-09-23,2836.19
BEV13 Index,2013-10-18,2013-10-18,10/21/13,2013-10-21,2891.66
BEX13 Index,2013-11-15,2013-11-15,11/18/13,2013-11-18,2880.51
BEZ13 Index,2013-12-20,2013-12-20,12/23/13,2013-12-23,2859.42
BEF14 Index,2014-01-17,2014-01-17,01/20/14,2014-01-20,2965.11
BEG14 Index,2014-02-21,2014-02-21,02/24/14,2014-02-24,3016.26
BEH14 Index,2014-03-21,2014-03-21,03/24/14,2014-03-24,3079.75
BEJ14 Index,2014-04-17,2014-04-17,04/22/14,2014-04-22,3115.71
BEK14 Index,2014-05-16,2014-05-16,05/19/14,2014-05-19,3093.94
BEM14 Index,2014-06-20,2014-06-20,06/23/14,2014-06-23,3173.12
BEN14 Index,2014-07-18,2014-07-18,07/21/14,2014-07-21,3115.09
BEQ14 Index,2014-08-15,2014-08-15,08/18/14,2014-08-18,3136.05
BEU14 Index,2014-09-19,2014-09-19,09/22/14,2014-09-22,3226.49
BEV14 Index,2014-10-17,2014-10-17,10/20/14,2014-10-20,2961.79
BEX14 Index,2014-11-21,2014-11-21,11/24/14,2014-11-24,3236.88
BEZ14 Index,2014-12-19,2014-12-19,12/22/14,2014-12-22,3264.49
BEF15 Index,2015-01-16,2015-01-16,01/19/15,2015-01-19,3362.54
BEG15 Index,2015-02-20,2015-02-20,02/23/15,2015-02-23,3610.87
BEH15 Index,2015-03-20,2015-03-20,03/23/15,2015-03-23,3763.79
BEJ15 Index,2015-04-17,2015-04-17,04/20/15,2015-04-20,
BEK15 Index,2015-05-15,2015-05-15,05/18/15,2015-05-18,
BEM15 Index,2015-06-19,2015-06-19,06/22/15,2015-06-22,
BEN15 Index,2015-07-17,2015-07-17,07/20/15,2015-07-20,
BEQ15 Index,2015-08-21,2015-08-21,08/24/15,2015-08-24,
BEU15 Index,2015-09-18,2015-09-18,09/21/15,2015-09-21,
