Ticker,Last Trade,First Notice,First Delivery,Last Delivery,Settle Price
PPZ10 Index,2010-12-17,2010-12-17,12/20/10,2010-12-20,7786.0
PPH11 Index,2011-03-18,2011-03-18,03/21/11,2011-03-21,7864.0
PPM11 Index,2011-06-17,2011-06-17,06/20/11,2011-06-20,7254.0
PPU11 Index,2011-09-16,2011-09-16,09/19/11,2011-09-19,6147.0
PPZ11 Index,2011-12-16,2011-12-16,12/19/11,2011-12-19,5318.0
PPH12 Index,2012-03-16,2012-03-16,03/17/12,2012-03-17,5572.0
PPM12 Index,2012-06-15,2012-06-15,06/16/12,2012-06-16,4563.0
PPU12 Index,2012-09-21,2012-09-21,09/22/12,2012-09-22,5428.0
PPZ12 Index,2012-12-21,2012-12-21,12/22/12,2012-12-22,5693.0
PPH13 Index,2013-03-15,2013-03-15,03/16/13,2013-03-16,6186.0
PPM13 Index,2013-06-21,2013-06-21,06/22/13,2013-06-22,5452.0
PPU13 Index,2013-09-20,2013-09-20,09/21/13,2013-09-21,6045.0
PPZ13 Index,2013-12-20,2013-12-20,12/23/13,2013-12-23,6516.0
PPH14 Index,2014-03-21,2014-03-21,03/22/14,2014-03-22,7468.0
PPM14 Index,2014-06-20,2014-06-20,06/21/14,2014-06-21,7099.0
PPU14 Index,2014-09-19,2014-09-19,09/20/14,2014-09-20,5912.0
PPZ14 Index,2014-12-19,2014-12-19,12/22/14,2014-12-22,4880.0
PPH15 Index,2015-03-20,2015-03-20,03/21/15,2015-03-21,5987.0
PPM15 Index,2015-06-19,2015-06-19,06/20/15,2015-06-20,
PPU15 Index,2015-09-18,2015-09-18,09/19/15,2015-09-19,
PPZ15 Index,2015-12-18,2015-12-18,12/21/15,2015-12-21,5310.66
PPH16 Index,2016-03-18,2016-03-18,03/21/16,2016-03-21,5172.8
PPM16 Index,2016-06-17,2016-06-17,06/20/16,2016-06-20,4519.19
PPU16 Index,2016-09-16,2016-09-16,09/19/16,2016-09-19,4470.84
