Ticker,Last Trade,First Notice,First Delivery,Last Delivery,Settle Price
AJK14 Index,2014-05-16,2014-05-16,05/16/14,2014-05-16,358.01
AJM14 Index,2014-06-20,2014-06-20,06/20/14,2014-06-20,415.29
AJN14 Index,2014-07-18,2014-07-18,07/18/14,2014-07-18,375.49
AJQ14 Index,2014-08-14,2014-08-14,08/14/14,2014-08-14,353.44
AJU14 Index,2014-09-19,2014-09-19,09/19/14,2014-09-19,362.74
AJV14 Index,2014-10-17,2014-10-17,10/17/14,2014-10-17,300.28
AJX14 Index,2014-11-21,2014-11-21,11/21/14,2014-11-21,318.95
AJZ14 Index,2014-12-19,2014-12-19,12/19/14,2014-12-19,279.28
AJF15 Index,2015-01-16,2015-01-16,01/16/15,2015-01-16,249.7
AJG15 Index,2015-02-20,2015-02-20,02/20/15,2015-02-20,257.84
AJH15 Index,2015-03-20,2015-03-20,03/20/15,2015-03-20,219.12
AJJ15 Index,2015-04-17,2015-04-17,04/17/15,2015-04-17,220.58
AJK15 Index,2015-05-15,2015-05-15,05/15/15,2015-05-15,244.97
AJM15 Index,2015-06-19,2015-06-19,06/19/15,2015-06-19,204.73
AJN15 Index,2015-07-17,2015-07-17,07/17/15,2015-07-17,
AJQ15 Index,2015-08-21,2015-08-21,08/21/15,2015-08-21,185.62
AJU15 Index,2015-09-18,2015-09-18,09/18/15,2015-09-18,199.14
AJV15 Index,2015-10-16,2015-10-16,10/16/15,2015-10-16,206.41
AJX15 Index,2015-11-20,2015-11-20,11/20/15,2015-11-20,195.62
AJZ15 Index,2015-12-18,2015-12-18,12/18/15,2015-12-18,181.4
AJF16 Index,2016-01-15,2016-01-15,01/15/16,2016-01-15,161.45
AJG16 Index,2016-02-19,2016-02-19,02/19/16,2016-02-19,127.93
AJH16 Index,2016-03-18,2016-03-18,03/18/16,2016-03-18,156.7
AJJ16 Index,2016-04-15,2016-04-15,04/15/16,2016-04-15,158.36
AJK16 Index,2016-05-20,2016-05-20,05/20/16,2016-05-20,179.0
AJM16 Index,2016-06-17,2016-06-17,06/17/16,2016-06-17,155.55
AJN16 Index,2016-07-15,2016-07-15,07/15/16,2016-07-15,1498.16
AJQ16 Index,2016-08-19,2016-08-19,08/19/16,2016-08-19,1510.67
AJU16 Index,2016-09-16,2016-09-16,09/16/16,2016-09-16,1470.92
AJV16 Index,2016-10-21,2016-10-21,10/21/16,2016-10-21,1578.29
AJX16 Index,2016-11-18,2016-11-18,11/18/16,2016-11-18,1613.26
AJZ16 Index,2016-12-16,2016-12-16,12/16/16,2016-12-16,1680.47
AJF17 Index,2017-01-20,2017-01-20,01/20/17,2017-01-20,1720.76
AJG17 Index,2017-02-17,2017-02-17,02/17/17,2017-02-17,1700.53
AJH17 Index,2017-03-17,2017-03-17,03/17/17,2017-03-17,1705.73
AJJ17 Index,2017-04-21,2017-04-21,04/21/17,2017-04-21,1803.7
AJK17 Index,2017-05-19,2017-05-19,05/19/17,2017-05-19,2077.46
AJM17 Index,2017-06-16,2017-06-16,06/16/17,2017-06-16,2153.38
AJN17 Index,2017-07-21,2017-07-21,07/21/17,2017-07-21,2181.49
AJQ17 Index,2017-08-18,2017-08-18,08/18/17,2017-08-18,2161.83
AJU17 Index,2017-09-15,2017-09-15,09/15/17,2017-09-15,2056.36
AJV17 Index,2017-10-20,2017-10-20,10/20/17,2017-10-20,1968.58
AJX17 Index,2017-11-17,2017-11-17,11/17/17,2017-11-17,1861.61
AJZ17 Index,2017-12-15,2017-12-15,12/15/17,2017-12-15,1992.78
AJF18 Index,2018-01-19,2018-01-19,01/19/18,2018-01-19,2185.62
AJG18 Index,2018-02-16,2018-02-16,02/16/18,2018-02-16,2169.23
AJH18 Index,2018-03-16,2018-03-16,03/16/18,2018-03-16,2082.35
AJJ18 Index,2018-04-20,2018-04-20,04/20/18,2018-04-20,2152.48
AJK18 Index,2018-05-18,2018-05-18,05/18/18,2018-05-18,2076.42
AJM18 Index,2018-06-15,2018-06-15,06/15/18,2018-06-15,
AJN18 Index,2018-07-20,2018-07-20,07/20/18,2018-07-20,1992.46
AJQ18 Index,2018-08-17,2018-08-17,08/17/18,2018-08-17,1894.32
AJU18 Index,2018-09-21,2018-09-21,09/21/18,2018-09-21,1817.54
AJV18 Index,2018-10-19,2018-10-19,10/19/18,2018-10-19,1642.2
AJX18 Index,2018-11-16,2018-11-16,11/16/18,2018-11-16,1639.16
AJZ18 Index,2018-12-21,2018-12-21,12/21/18,2018-12-21,1606.71
AJF19 Index,2019-01-18,2019-01-18,01/18/19,2019-01-18,1636.64
AJG19 Index,2019-02-15,2019-02-15,02/15/19,2019-02-15,1720.86
AJH19 Index,2019-03-15,2019-03-15,03/15/19,2019-03-15,1884.62
AJJ19 Index,2019-04-18,2019-04-19,04/19/19,2019-04-19,1988.37
AJK19 Index,2019-05-17,2019-05-17,05/17/19,2019-05-17,1901.32
AJM19 Index,2019-06-21,2019-06-21,06/21/19,2019-06-21,2115.01
AJN19 Index,2019-07-19,2019-07-19,07/19/19,2019-07-19,2129.13
AJQ19 Index,2019-08-16,2019-08-16,08/16/19,2019-08-16,1950.84
AJU19 Index,2019-09-20,2019-09-20,09/20/19,2019-09-20,2147.62
AJV19 Index,2019-10-18,2019-10-18,10/18/19,2019-10-18,2134.34
