Ticker,Last Trade,First Notice,First Delivery,Last Delivery,Settle Price
EOH14 Index,2014-03-21,2014-03-21,03/21/14,2014-03-21,390.19
EOJ14 Index,2014-04-17,2014-04-17,04/17/14,2014-04-17,396.54
EOK14 Index,2014-05-16,2014-05-16,05/16/14,2014-05-16,398.28
EOM14 Index,2014-06-20,2014-06-20,06/20/14,2014-06-20,419.08
EON14 Index,2014-07-18,2014-07-18,07/18/14,2014-07-18,402.68
EOQ14 Index,2014-08-15,2014-08-15,08/15/14,2014-08-15,400.05
EOU14 Index,2014-09-19,2014-09-19,09/19/14,2014-09-19,424.86
EOV14 Index,2014-10-17,2014-10-17,10/17/14,2014-10-17,383.93
EOX14 Index,2014-11-21,2014-11-21,11/21/14,2014-11-21,423.59
EOZ14 Index,2014-12-19,2014-12-19,12/19/14,2014-12-19,415.41
EOF15 Index,2015-01-16,2015-01-16,01/16/15,2015-01-16,431.58
EOG15 Index,2015-02-20,2015-02-20,02/20/15,2015-02-20,468.05
EOH15 Index,2015-03-20,2015-03-20,03/20/15,2015-03-20,498.89
EOJ15 Index,2015-04-17,2015-04-17,04/17/15,2015-04-17,
EOK15 Index,2015-05-15,2015-05-15,05/15/15,2015-05-15,
EOM15 Index,2015-06-19,2015-06-19,06/19/15,2015-06-19,
EON15 Index,2015-07-17,2015-07-17,07/17/15,2015-07-17,
EOQ15 Index,2015-08-21,2015-08-21,08/21/15,2015-08-21,
EOU15 Index,2015-09-18,2015-09-18,09/18/15,2015-09-18,
EOV15 Index,2015-10-16,2015-10-16,10/16/15,2015-10-16,
EOX15 Index,2015-11-20,2015-11-20,11/20/15,2015-11-20,469.17
EOZ15 Index,2015-12-18,2015-12-18,12/18/15,2015-12-18,433.97
EOF16 Index,2016-01-15,2016-01-15,01/15/16,2016-01-15,401.96
EOG16 Index,2016-02-19,2016-02-19,02/19/16,2016-02-19,410.24
EOH16 Index,2016-03-18,2016-03-18,03/18/16,2016-03-18,446.0
EOJ16 Index,2016-04-15,2016-04-15,04/15/16,2016-04-15,450.95
EOK16 Index,2016-05-20,2016-05-20,05/20/16,2016-05-20,433.02
EOM16 Index,2016-06-17,2016-06-17,06/17/16,2016-06-17,421.43
EON16 Index,2016-07-15,2016-07-15,07/15/16,2016-07-15,447.14
EOQ16 Index,2016-08-19,2016-08-19,08/19/16,2016-08-19,447.52
EOU16 Index,2016-09-16,2016-09-16,09/16/16,2016-09-16,438.86
EOV16 Index,2016-10-21,2016-10-21,10/21/16,2016-10-21,455.85
EOX16 Index,2016-11-18,2016-11-18,11/18/16,2016-11-18,450.73
EOZ16 Index,2016-12-16,2016-12-16,12/16/16,2016-12-16,479.13
EOF17 Index,2017-01-20,2017-01-20,01/20/17,2017-01-20,487.42
EOG17 Index,2017-02-17,2017-02-17,02/17/17,2017-02-17,497.06
EOH17 Index,2017-03-17,2017-03-17,03/17/17,2017-03-17,516.25
EOJ17 Index,2017-04-21,2017-04-21,04/21/17,2017-04-21,513.22
EOK17 Index,2017-05-19,2017-05-19,05/19/17,2017-05-19,526.77
EOM17 Index,2017-06-16,2017-06-16,06/16/17,2017-06-16,519.53
EON17 Index,2017-07-21,2017-07-21,07/21/17,2017-07-21,523.79
EOQ17 Index,2017-08-18,2017-08-18,08/18/17,2017-08-18,517.89
EOU17 Index,2017-09-15,2017-09-15,09/15/17,2017-09-15,527.09
EOV17 Index,2017-10-20,2017-10-20,10/20/17,2017-10-20,545.27
EOX17 Index,2017-11-17,2017-11-17,11/17/17,2017-11-17,535.61
EOZ17 Index,2017-12-15,2017-12-15,12/15/17,2017-12-15,546.56
EOF18 Index,2018-01-19,2018-01-19,01/19/18,2018-01-19,569.9
EOG18 Index,2018-02-16,2018-02-16,02/16/18,2018-02-16,530.43
EOH18 Index,2018-03-16,2018-03-16,03/16/18,2018-03-16,537.05
EOJ18 Index,2018-04-20,2018-04-20,04/20/18,2018-04-20,550.64
EOK18 Index,2018-05-18,2018-05-18,05/18/18,2018-05-18,568.36
EOM18 Index,2018-06-15,2018-06-15,06/15/18,2018-06-15,563.74
EON18 Index,2018-07-20,2018-07-20,07/20/18,2018-07-20,569.58
EOQ18 Index,2018-08-17,2018-08-17,08/17/18,2018-08-17,550.73
EOU18 Index,2018-09-21,2018-09-21,09/21/18,2018-09-21,549.2
EOV18 Index,2018-10-19,2018-10-19,10/19/18,2018-10-19,526.53
EOX18 Index,2018-11-16,2018-11-16,11/16/18,2018-11-16,521.38
EOZ18 Index,2018-12-21,2018-12-21,12/21/18,2018-12-21,480.32
EOF19 Index,2019-01-18,2019-01-18,01/18/19,2019-01-18,508.76
EOG19 Index,2019-02-15,2019-02-15,02/15/19,2019-02-15,540.29
EOH19 Index,2019-03-15,2019-03-15,03/15/19,2019-03-15,550.01
EOJ19 Index,2019-04-18,2019-04-18,04/18/19,2019-04-18,571.2
EOK19 Index,2019-05-17,2019-05-17,05/17/19,2019-05-17,555.72
EOM19 Index,2019-06-21,2019-06-21,06/21/19,2019-06-21,561.81
EON19 Index,2019-07-19,2019-07-19,07/19/19,2019-07-19,572.27
EOQ19 Index,2019-08-16,2019-08-16,08/16/19,2019-08-16,540.0
EOU19 Index,2019-09-20,2019-09-20,09/20/19,2019-09-20,580.12
EOV19 Index,2019-10-18,2019-10-18,10/18/19,2019-10-18,573.87
EOX19 Index,2019-11-15,2019-11-15,11/15/19,2019-11-15,597.76
EOZ19 Index,2019-12-20,2019-12-20,12/20/19,2019-12-20,
EOF20 Index,2020-01-17,2020-01-17,01/17/20,2020-01-17,
EOG20 Index,2020-02-21,2020-02-21,02/21/20,2020-02-21,
EOH20 Index,2020-03-20,2020-03-20,03/20/20,2020-03-20,
EOJ20 Index,2020-04-17,2020-04-17,04/17/20,2020-04-17,
EOK20 Index,2020-05-15,2020-05-15,05/15/20,2020-05-15,
EOM20 Index,2020-06-19,2020-06-19,06/19/20,2020-06-19,
EON20 Index,2020-07-17,2020-07-17,07/17/20,2020-07-17,
EOQ20 Index,2020-08-21,2020-08-21,08/21/20,2020-08-21,
EOU20 Index,2020-09-18,2020-09-18,09/18/20,2020-09-18,
EOV20 Index,2020-10-16,2020-10-16,10/16/20,2020-10-16,568.04
EOX20 Index,2020-11-20,2020-11-20,11/20/20,2020-11-20,600.38
EOZ20 Index,2020-12-18,2020-12-18,12/18/20,2020-12-18,626.67
EOF21 Index,2021-01-15,2021-01-15,01/15/21,2021-01-15,653.0
EOG21 Index,2021-02-19,2021-02-19,02/19/21,2021-02-19,677.82
EOH21 Index,2021-03-19,2021-03-19,03/19/21,2021-03-19,682.29
EOJ21 Index,2021-04-16,2021-04-16,04/16/21,2021-04-16,715.45
EOK21 Index,2021-05-21,2021-05-21,05/21/21,2021-05-21,708.97
EOM21 Index,2021-06-18,2021-06-18,06/18/21,2021-06-18,723.76
EON21 Index,2021-07-16,2021-07-16,07/16/21,2021-07-16,739.07
EOQ21 Index,2021-08-20,2021-08-20,08/20/21,2021-08-20,770.71
EOU21 Index,2021-09-17,2021-09-17,09/17/21,2021-09-17,798.76
EOV21 Index,2021-10-15,2021-10-15,10/15/21,2021-10-15,797.77
EOX21 Index,2021-11-19,2021-11-19,11/19/21,2021-11-19,824.06
EOZ21 Index,2021-12-17,2021-12-17,12/17/21,2021-12-17,769.4
EOF22 Index,2022-01-21,2022-01-21,01/21/22,2022-01-21,761.92
EOG22 Index,2022-02-18,2022-02-18,02/18/22,2022-02-18,746.88
EOH22 Index,2022-03-18,2022-03-18,03/18/22,2022-03-18,710.48
EOJ22 Index,2022-04-14,2022-04-14,04/14/22,2022-04-14,721.77
EOK22 Index,2022-05-20,2022-05-20,05/20/22,2022-05-20,689.56
EOM22 Index,2022-06-17,2022-06-17,06/17/22,2022-06-17,640.87
EON22 Index,2022-07-15,2022-07-15,07/15/22,2022-07-15,669.75
EOQ22 Index,2022-08-19,2022-08-19,08/19/22,2022-08-19,723.22
EOU22 Index,2022-09-16,2022-09-16,09/16/22,2022-09-16,664.95
EOV22 Index,2022-10-21,2022-10-21,10/21/22,2022-10-21,649.39
EOX22 Index,2022-11-18,2022-11-18,11/18/22,2022-11-18,714.9
EOZ22 Index,2022-12-16,2022-12-16,12/16/22,2022-12-16,703.17
EOF23 Index,2023-01-20,2023-01-20,01/20/23,2023-01-20,737.7
EOG23 Index,2023-02-17,2023-02-17,02/17/23,2023-02-17,765.04
EOH23 Index,2023-03-17,2023-03-17,03/17/23,2023-03-17,721.21
EOJ23 Index,2023-04-21,2023-04-21,04/21/23,2023-04-21,760.46
EOK23 Index,2023-05-19,2023-05-19,05/19/23,2023-05-19,769.92
EOM23 Index,2023-06-16,2023-06-16,06/16/23,2023-06-16,774.07
EON23 Index,2023-07-21,2023-07-21,07/21/23,2023-07-21,772.44
EOQ23 Index,2023-08-18,2023-08-18,08/18/23,2023-08-18,730.27
EOU23 Index,2023-09-15,2023-09-15,09/15/23,2023-09-15,743.09
EOV23 Index,2023-10-20,2023-10-20,10/20/23,2023-10-20,720.49
EOX23 Index,2023-11-17,2023-11-17,11/17/23,2023-11-17,758.53
EOZ23 Index,2023-12-15,2023-12-15,12/15/23,2023-12-15,791.98
EOF24 Index,2024-01-19,2024-01-19,01/19/24,2024-01-19,779.92
EOG24 Index,2024-02-16,2024-02-16,02/16/24,2024-02-16,856.36
EOH24 Index,2024-03-15,2024-03-15,03/15/24,2024-03-15,856.58
EOJ24 Index,2024-04-19,2024-04-19,04/19/24,2024-04-19,860.45
EOK24 Index,2024-05-17,2024-05-17,05/17/24,2024-05-17,912.06
EOM4 Index,2024-06-21,2024-06-21,06/21/24,2024-06-21,924.31
EON4 Index,2024-07-19,2024-07-19,07/19/24,2024-07-19,909.24
EOQ4 Index,2024-08-16,2024-08-16,08/16/24,2024-08-16,904.07
EOU4 Index,2024-09-20,2024-09-20,09/20/24,2024-09-20,897.88
EOV4 Index,2024-10-18,2024-10-18,10/18/24,2024-10-18,899.5
EOX4 Index,2024-11-15,2024-11-15,11/15/24,2024-11-15,864.32
EOZ4 Index,2024-12-20,2024-12-20,12/20/24,2024-12-20,867.65
EOF5 Index,2025-01-17,2025-01-17,01/17/25,2025-01-17,915.17
EOG5 Index,2025-02-21,2025-02-21,02/21/25,2025-02-21,935.4
EOH5 Index,2025-03-21,2025-03-21,03/21/25,2025-03-21,912.86
EOJ5 Index,2025-04-17,2025-04-17,04/17/25,2025-04-17,852.28
EOK5 Index,2025-05-16,2025-05-16,05/16/25,2025-05-16,868.89
EOM5 Index,2025-06-20,2025-06-20,06/20/25,2025-06-20,869.44
EON5 Index,2025-07-18,2025-07-18,07/18/25,2025-07-18,871.19
EOU5 Index,2025-09-19,2025-09-19,09/19/25,2025-09-19,868.89
EOZ5 Index,2025-12-19,2025-12-19,12/19/25,2025-12-19,870.54
EOH6 Index,2026-03-20,2026-03-20,03/20/26,2026-03-20,872.74
