Ticker,Last Trade,First Notice,First Delivery,Last Delivery,Settle Price
CFN08 Index,2008-07-18,2008-07-18,07/21/08,2008-07-21,4259.2
CFQ08 Index,2008-08-15,2008-08-15,08/18/08,2008-08-18,4453.3
CFU08 Index,2008-09-19,2008-09-19,09/22/08,2008-09-22,4255.0
CFV08 Index,2008-10-17,2008-10-17,10/20/08,2008-10-20,3219.2
CFX08 Index,2008-11-21,2008-11-21,11/24/08,2008-11-24,2943.7
CFZ08 Index,2008-12-19,2008-12-19,12/19/08,2008-12-19,3217.7
CFF09 Index,2009-01-16,2009-01-16,01/19/09,2009-01-19,3056.1
CFG09 Index,2009-02-20,2009-02-20,02/23/09,2009-02-23,2777.6
CFH09 Index,2009-03-20,2009-03-20,03/23/09,2009-03-23,2784.7
CFJ09 Index,2009-04-17,2009-04-17,04/20/09,2009-04-20,3085.2
CFK09 Index,2009-05-15,2009-05-15,05/18/09,2009-05-18,3170.9
CFM09 Index,2009-06-19,2009-06-19,06/22/09,2009-06-22,3219.1
CFN09 Index,2009-07-17,2009-07-17,07/20/09,2009-07-20,3221.1
CFQ09 Index,2009-08-21,2009-08-21,08/24/09,2009-08-24,3581.4
CFU09 Index,2009-09-18,2009-09-18,09/21/09,2009-09-21,3843.7
CFV09 Index,2009-10-16,2009-10-16,10/19/09,2009-10-19,3846.0
CFX09 Index,2009-11-20,2009-11-20,11/23/09,2009-11-23,3748.2
CFZ09 Index,2009-12-18,2009-12-18,12/21/09,2009-12-21,3827.1
CFF10 Index,2010-01-15,2010-01-15,01/18/10,2010-01-18,3995.4
CFG10 Index,2010-02-19,2010-02-19,02/22/10,2010-02-22,3745.3
CFH10 Index,2010-03-19,2010-03-19,03/22/10,2010-03-22,3932.0
CFJ10 Index,2010-04-16,2010-04-16,04/19/10,2010-04-19,4061.3
CFK10 Index,2010-05-21,2010-05-21,05/24/10,2010-05-24,3387.4
CFM10 Index,2010-06-18,2010-06-18,06/21/10,2010-06-21,3677.7
CFN10 Index,2010-07-16,2010-07-16,07/19/10,2010-07-19,3527.5
CFQ10 Index,2010-08-20,2010-08-20,08/23/10,2010-08-23,3525.6
CFU10 Index,2010-09-17,2010-09-17,09/20/10,2010-09-20,3728.2
CFV10 Index,2010-10-15,2010-10-15,10/18/10,2010-10-18,3829.0
CFX10 Index,2010-11-19,2010-11-19,11/22/10,2010-11-22,3830.8
CFZ10 Index,2010-12-17,2010-12-17,12/20/10,2010-12-20,3877.7
CFF11 Index,2011-01-21,2011-01-21,01/24/11,2011-01-24,4049.7
CFG11 Index,2011-02-18,2011-02-18,02/21/11,2011-02-21,4150.2
CFH11 Index,2011-03-18,2011-03-18,03/21/11,2011-03-21,3833.3
CFJ11 Index,2011-04-15,2011-04-15,04/18/11,2011-04-18,3963.1
CFK11 Index,2011-05-20,2011-05-20,05/23/11,2011-05-23,4020.7
CFM11 Index,2011-06-17,2011-06-17,06/20/11,2011-06-20,3830.0
CFN11 Index,2011-07-15,2011-07-15,07/18/11,2011-07-18,3733.1
CFQ11 Index,2011-08-19,2011-08-19,08/22/11,2011-08-22,3033.6
CFU11 Index,2011-09-16,2011-09-16,09/19/11,2011-09-19,3074.6
CFV11 Index,2011-10-21,2011-10-21,10/24/11,2011-10-24,3148.1
CFX11 Index,2011-11-18,2011-11-18,11/21/11,2011-11-21,2989.1
CFZ11 Index,2011-12-16,2011-12-16,12/19/11,2011-12-19,2982.3
CFF12 Index,2012-01-20,2012-01-20,01/23/12,2012-01-23,3325.7
CFG12 Index,2012-02-17,2012-02-17,02/20/12,2012-02-20,3448.7
CFH12 Index,2012-03-16,2012-03-16,03/19/12,2012-03-19,3598.6
CFJ12 Index,2012-04-20,2012-04-20,04/23/12,2012-04-23,3181.3
CFK12 Index,2012-05-18,2012-05-18,05/21/12,2012-05-21,3015.1
CFM12 Index,2012-06-15,2012-06-15,06/18/12,2012-06-18,3085.6
CFN12 Index,2012-07-20,2012-07-20,07/23/12,2012-07-23,3200.8
CFQ12 Index,2012-08-17,2012-08-17,08/20/12,2012-08-20,3490.2
CFU12 Index,2012-09-21,2012-09-21,09/24/12,2012-09-24,3536.3
CFV12 Index,2012-10-19,2012-10-19,10/22/12,2012-10-22,3512.6
CFX12 Index,2012-11-16,2012-11-16,11/19/12,2012-11-19,3376.0
CFZ12 Index,2012-12-21,2012-12-21,12/24/12,2012-12-24,3659.0
CFF13 Index,2013-01-18,2013-01-18,01/21/13,2013-01-21,3754.5
CFG13 Index,2013-02-15,2013-02-15,02/18/13,2013-02-18,3689.3
CFH13 Index,2013-03-15,2013-03-15,03/18/13,2013-03-18,3846.4
CFJ13 Index,2013-04-19,2013-04-19,04/22/13,2013-04-22,3632.6
CFK13 Index,2013-05-17,2013-05-17,05/20/13,2013-05-20,4000.7
CFM13 Index,2013-06-21,2013-06-21,06/24/13,2013-06-24,3701.1
CFN13 Index,2013-07-19,2013-07-19,07/22/13,2013-07-22,3913.4
CFQ13 Index,2013-08-16,2013-08-16,08/19/13,2013-08-19,4101.3
CFU13 Index,2013-09-20,2013-09-20,09/23/13,2013-09-23,4210.3
CFV13 Index,2013-10-18,2013-10-18,10/21/13,2013-10-21,4275.5
CFX13 Index,2013-11-15,2013-11-15,11/18/13,2013-11-18,4290.6
CFZ13 Index,2013-12-20,2013-12-20,12/23/13,2013-12-23,4186.7
CFF14 Index,2014-01-17,2014-01-17,01/20/14,2014-01-20,4327.6
CFG14 Index,2014-02-21,2014-02-21,02/24/14,2014-02-24,4372.8
CFH14 Index,2014-03-21,2014-03-21,03/24/14,2014-03-24,4335.7
CFJ14 Index,2014-04-17,2014-04-17,04/22/14,2014-04-22,4423.0
CFK14 Index,2014-05-16,2014-05-16,05/19/14,2014-05-19,4447.4
CFM14 Index,2014-06-20,2014-06-20,06/23/14,2014-06-23,4565.5
CFN14 Index,2014-07-18,2014-07-18,07/21/14,2014-07-21,4314.3
CFQ14 Index,2014-08-15,2014-08-15,08/18/14,2014-08-18,4249.3
CFU14 Index,2014-09-19,2014-09-19,09/22/14,2014-09-22,4470.3
CFV14 Index,2014-10-17,2014-10-17,10/20/14,2014-10-20,4000.1
CFX14 Index,2014-11-21,2014-11-21,11/24/14,2014-11-24,4347.6
CFZ14 Index,2014-12-19,2014-12-19,12/22/14,2014-12-22,4208.3
CFF15 Index,2015-01-16,2015-01-16,01/19/15,2015-01-19,4361.4
CFG15 Index,2015-02-20,2015-02-20,02/23/15,2015-02-23,4801.7
CFH15 Index,2015-03-20,2015-03-20,03/23/15,2015-03-23,5085.7
