Date,DAX Notional Value,Amsterdam Index Notional Value,CAC40 Notional Value,PSI-20 Notional Value,IBEX-35 Notional Value,FTSE/Athens Notional Value,BEL-20 Notional Value,FTSE/MIB Notional Value,Gold Notional Value,Silver Notional Value
2024-03-28,12847513.16877079,1287801.2337096748,12223336.636520375,9061392.133444479,19909557.926228087,4487219.725394067,5720529.141926576,58224584.94030738,1971210.7573398342,107316.486382204
2024-03-29,12847513.16877079,1287801.2337096748,12223336.636520375,9061392.133444479,19909557.926228087,4487219.725394067,5720529.141926576,58224584.94030738,1971210.7573398342,107316.486382204
2024-04-01,12847513.16877079,1287801.2337096748,12223336.636520375,9061392.133444479,19909557.926228087,4487219.725394067,5720529.141926576,58224584.94030738,1988190.1591009917,107995.95117076738
2024-04-02,12694925.00107608,1286736.9110706383,12105911.745137738,9114694.4401118,19705193.116980903,4385802.539999479,5693815.035154056,57465526.01530147,2009970.0199988117,111674.58219165189
2024-04-03,12747612.395302504,1290411.0111396408,12140098.738831416,9108771.961593207,19803417.75241133,4370099.233873866,5732402.078269918,57725920.668947,2039661.7487329827,116612.60336203924
2024-04-04,12763350.188383125,1290265.213517855,12132666.783680616,9116175.059741447,19916214.174416594,4369117.777241015,5756147.950956603,57640824.37690598,2034683.4948134809,117456.52459624216
2024-04-05,12595708.479480864,1284826.9622252444,11995918.808905901,8979958.05381385,19582322.37339303,4368790.625030065,5699009.444804268,56856236.56428777,2067486.6322473402,118581.7529085127
2024-04-08,12701083.267933713,1290848.4040049983,12080643.097625019,9055469.654925887,19653382.32027035,4422443.587625911,5719787.0834051175,57383833.5749421,2072820.4757325205,119932.02688323738
2024-04-09,12534810.062777594,1285074.8181822803,11975852.529998742,9070275.851222364,19477801.286973473,4499651.509410177,5712366.498190529,56742207.53295279,2083310.367920042,120706.70329822364
2024-04-10,12545073.840873651,1293035.3683317853,11968420.574847942,9074717.710111309,19389111.277326584,4494089.921824023,5691588.859589679,56895380.858626634,2070953.6305127074,121009.6493822965
2024-04-11,12440383.30429387,1288471.9027698894,11931260.799093943,9098407.624185674,19166396.81091108,4498997.204988277,5699009.444804268,56311620.29522523,2093355.7731504652,121940.12664052022
2024-04-12,12406854.962513419,1288457.323007711,11911194.520186784,9159113.029001232,19224324.160011075,4438801.198173425,5717560.907840741,56391610.80974379,2094600.3366303404,122282.02293540243
2024-04-15,12471858.890455112,1289288.36945189,11960245.424182063,9053989.035296239,19195180.58686139,4413937.630141203,5721271.200448035,56713274.79365885,2103134.4862066293,123995.83221101452
2024-04-16,12291900.647837583,1275525.0739553098,11798228.801894628,8985880.53233244,18931988.935515765,4309576.074848064,5636676.529001722,55731263.58350547,2125358.8340615476,122554.674411068
2024-04-17,12322007.730252683,1261658.4380248887,11869469.616499597,8981438.673443498,19150386.367224928,4339355.968751259,5632168.389948935,56136321.93362073,2108379.4323003897,122675.85284469713
2024-04-18,12358957.331398487,1261423.6590038447,11928711.978118466,9138384.354186164,19381418.361099083,4387134.699628913,5679503.8500032015,56531168.728691064,2117802.5557908756,122602.28022427944
2024-04-19,12279584.114122316,1253852.0355751703,11924962.46156031,9088043.286778139,19311025.800465554,4414296.580881277,5681006.563020797,56606053.46568716,2132115.035809443,124675.2969995779
2024-04-22,12356220.323906206,1263081.785839969,11972956.273504712,9444872.617523257,19600898.755279534,4515090.067938245,5732098.805619054,57057063.81350458,2073264.9626896188,117772.45408391813
2024-04-23,12553284.863350496,1275158.2317349282,12090691.093430819,9558880.329006135,19927411.94037199,4620465.077134165,5773423.413602937,58125873.2415398,2069264.5800757336,118283.13462564092
2024-04-24,12497860.46163179,1276845.7059486832,12068193.99408188,9464120.672708677,19822184.08691212,4621119.580296873,5762153.065970968,57960786.43498021,2065800.8555114625,118213.96825790427
2024-04-25,12391801.421305869,1270932.2093561334,11949709.270844141,9480407.488634802,19729951.783107676,4579558.629464941,5732098.805619054,57358304.68732979,2069619.8338771975,118244.22854378907
2024-04-26,12555337.618969707,1289861.267927819,12065944.284146987,9584050.862710148,20077943.72388062,4634536.895132379,5764407.135497362,57901219.0305515,2073794.0660443958,117807.61584745145
2024-04-29,12527283.29217382,1289831.9205501885,12028449.118565423,9665484.942340776,20077582.736390192,4628646.36666801,5785445.117743704,57957382.58329858,2083030.6648824525,118330.68650345989
2024-04-30,12381537.643209813,1284754.8242201083,11931711.59136499,9567764.046784023,19582668.8870129,4604757.001229184,5780185.622182118,57026429.148369804,2035071.4016848519,114085.60068362289
2024-05-01,12381537.643209813,1284754.8242201083,11931711.59136499,9567764.046784023,19582668.8870129,4604757.001229184,5780185.622182118,57026429.148369804,2042620.5449659557,114509.24468600989
2024-05-02,12365115.598256122,1285195.0348845662,11843972.903904134,9653639.985303594,19632485.160692014,4618174.316064688,5793710.03934048,56977073.29898602,2041998.850813394,114915.5970964627
2024-05-03,12418487.244355617,1297770.386199244,11914463.815197473,9626988.831969934,19593498.51172575,4618174.316064688,5832029.221289172,56786457.60481413,2041821.2239126621,114319.0371747341
2024-05-06,12535494.314650664,1303155.6299944448,11978955.499997761,9655120.604933243,19739698.44534924,4618174.316064688,5853067.203535513,57399150.907509476,2061893.0636953616,118313.39491152571
2024-05-07,12718873.816633545,1316361.949928179,12098190.126547132,9773570.175305065,20021449.18162858,4618174.316064688,5954500.332223227,57828036.219396226,2056209.0028719422,118028.08364461204
2024-05-08,12746928.143429434,1315584.24442097,12185928.814007988,9786895.751971895,20147072.828297656,4692133.173450645,5982300.523048748,57662949.41283664,2054787.9876660875,118278.81172765739
2024-05-09,12866672.221216762,1323434.6679371344,12263918.75841764,9945322.052344209,19964052.170650467,4700314.46298449,5946986.7671352485,57962488.36082104,2071218.4759837838,121611.76607296728
2024-05-10,12916622.607950905,1332972.5656670535,12310412.763738777,10060810.383456737,20070362.986581627,4717331.545214887,5988311.375119132,58507104.62988357,2102480.8105125907,122229.94048461359
2024-05-13,12900200.562997214,1334850.7978354068,12317911.79685509,9998624.359011529,20120540.24775117,4675443.342801602,5973284.244943174,58760691.58016581,2074771.013998421,121996.5039935024
2024-05-14,12892673.79239344,1332767.1340236398,12343408.509450553,10142244.463087365,20288218.937055144,4668571.059593173,5957505.758258418,59327432.885159016,2090135.7409117266,123137.74906115714
